[2021-05-17 01:43:31.067] Starting up round ID 13.
 - -------------------------
[2021-05-17 02:04:16.266] TCOMMS: DanteThanatos/(Dr Oswald Casket) [Common] (spans:  ) "Sério?" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 05:38:00.732] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Ele falou algo?" (language: Galactic Common) (Followers of the Apocalypse (84, 55, 2))
[2021-05-17 05:44:03.371] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Eu vou tirar um cochilo e já volto." (language: Galactic Common) (Brotherhood of Steel Operations Department (242, 240, 3))
[2021-05-17 05:44:29.555] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Brotherhood of Steel Operations Department (236, 231, 3))
[2021-05-17 05:46:19.700] TCOMMS: SondTheAnime/(Courier) [Common] (spans:  ) "Sucateiros?" (language: Galactic Common) (Wasteland (91, 229, 2))
[2021-05-17 05:53:10.366] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Testando..." (language: Galactic Common) (Wasteland (140, 182, 2))
[2021-05-17 05:53:12.178] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Na escuta?" (language: Galactic Common) (Wasteland (140, 182, 2))
[2021-05-17 05:53:16.474] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Sim" (language: Galactic Common) (Followers of the Apocalypse (84, 56, 2))
[2021-05-17 05:53:22.315] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Bem recuperei os pertences." (language: Galactic Common) (Wasteland (141, 182, 2))
[2021-05-17 05:53:30.857] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Que bom nyhi" (language: Galactic Common) (Followers of the Apocalypse (84, 56, 2))
[2021-05-17 05:53:43.061] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Certo..." (language: Galactic Common) (Wasteland (140, 182, 2))
[2021-05-17 05:53:57.272] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "O médico coberto estava procurando pela Vault." (language: Galactic Common) (Wasteland (140, 182, 2))
[2021-05-17 05:54:02.787] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Disse que estaria no norte." (language: Galactic Common) (Wasteland (140, 182, 2))
[2021-05-17 05:54:16.392] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Eu tambem acho que foi o mesmo que passou aqui" (language: Galactic Common) (Followers of the Apocalypse (84, 57, 2))
[2021-05-17 05:54:49.429] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Muito bem." (language: Galactic Common) (Building (128, 193, 2))
[2021-05-17 05:54:59.883] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Estarei adormecendo para sempre. A morte final." (language: Galactic Common) (Building (131, 193, 2))
[2021-05-17 05:55:06.910] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Mantenha caudela com os dois em sua posse." (language: Galactic Common) (Building (131, 193, 2))
[2021-05-17 05:55:13.677] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Cautela, digo. Não cadelas." (language: Galactic Common) (Building (131, 193, 2))
[2021-05-17 05:55:16.929] TCOMMS: marco25555/(Nydia S. Highlands) [Medical] (spans:  ) "Certo tomarei" (language: Galactic Common) (Followers of the Apocalypse (84, 58, 2))
[2021-05-17 06:01:17.954] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Voltei." (language: Galactic Common) (Brotherhood of Steel Leisure Areas (219, 251, 3))
[2021-05-17 06:01:21.744] TCOMMS: JohonasMexicanjo/(Heather Rose) [BOS] (spans:  ) "Tem algo acontecendo?" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (220, 249, 3))
[2021-05-17 06:18:41.837] TCOMMS: JohonasMexicanjo/(Heather Rose) [Common] (spans: command_headset  ) "Peida" (language: Galactic Common) (Tunnel (54, 42, 3))
[2021-05-17 06:28:16.298] TCOMMS: JohonasMexicanjo/(Heather Rose) [Common] (spans:  ) "VOU PEIDAR NA SUA BOCA" (language: Galactic Common) (Bunker (43, 246, 4))
